class,document,BONA_TFRF
ALZ,ALZ1,immunoreactive somatostatin senile dementia post mortem senile dementia sdat post mortem significant fall choline hippocampus amygdala sdat maximal fall significant immunoreactive somatostatin
ALZ,ALZ10,diagnostic primary degeneration alzheimers attentional dementia dementia range reversible conditions indistinguishable primary degeneration alzheimers alzheimers importance presumptive underscored diagnostic current evidence gradual progressive mental deterioration cognitive motivation eliminate reversible condition cognitive dysfunction
ALZ,ALZ100,cacetylcholine synthesis ccarbon prisms human neocortex cacetylcholine synthesis preparations human neocortex micrographs prisms human neocortex intact synaptic endings normal structure synthesis cacetylcholine prisms vivo synthesis prisms human neocortex neocortex incubations prepared degrees synthesis cacetylcholine presence post mortem synthesis neocortex human suitable system cacetylcholine synthesis cacetylcholine synthesis human condition alzheimers significant cacetylcholine synthesis normal significant
ALZ,ALZ1000,deterioration dementia observations implications read aloud read aloud independent deterioration dementia mental status results deterioration identification perceptual consistent instrumental dementia
ALZ,ALZ101,flow metabolic oxygen glucose lactate pyruvate ketone flow metabolic cmr glucose lactate pyruvate ketone presenile dementia normal values uptake oxygen healthy subjects values deterioration furthermore significant release lactate pyruvate positive correlation cmr ketone group dementia uptake significant release phenylalanine cmr threonine healthy subjects findings state normal shunt cmr glucose cmr ketone hydroxybutyrate consistent ketone
ALZ,ALZ102,mental confusional parkinsons tomographic signs ninety parkinsons mental oms motor signs extrapyramidal dysfunction cranial ct sulci enlargement ct signs different patterns intact mentation presence oms usual parkinsonian ct signs dysfunction independent typical parkinsonian evidence oms indistinguishable group parkinsonian permanent oms constitute parkinsonian likely dementias parkinsonian mental status findings factor
ALZ,ALZ103,parasynaptic corpora typical corpora amylacea synaptic subjects huntingtons alzheimers diseases distorted synaptic possible unusual synaptic lesion significant related synaptic
ALZ,ALZ104,senile tangles dementia hemodialysis dialysis des neurofibrillary tangles des group extent compatible alzheimers different neurofibrillary tangles tangles helical filaments alzheimers possible helical filaments alzheimers aluminum contents aluminum nervous system likely hemodialysis neurofibrillary tangles des support theories aluminum etiological alzheimers
ALZ,ALZ105,twins alzheimers alzheimers senile dementia died findings alzheimers sisters
ALZ,ALZ106,spongiform jakob spongiform important diagnostic rapid evolution presenile senile dementia neurological unusual alzheimers importance jakob typical ct general spongiform process limited specific
ALZ,ALZ107,method demonstration senile senile grey matter senile dementia method demonstration senile unstained paraffin ultraviolet senile autofluorescence autofluorescence neuropil
ALZ,ALZ108,ct dementia gray white matter discriminability dementia investigation gray white matter discriminability ct cognitive discriminability differentiation gray white tissues elderly dementia psychometric ct gray white matter centrum convexity gray white matter scores ct values methods significant correlations gray white matter discriminability convexity level cognitive gray white discriminability group gray white discriminability correlation gray white discriminability
ALZ,ALZ109,senile dementia cranial necropsy volumes white matter dementia less less whereas less findings support exaggerated underlie primary dementia
ALZ,ALZ11,serum parathyroid dementia alzheimers aluminum factor senile dementia sd dialysis dementia renal term hemodialysis pth aluminum gastrointestinal tract pth loads senile dementia status pth significant pth occur related renal dementia aluminum dialysis dementia sd
ALZ,ALZ110,uptake platelets huntingtons presenile dementia kinetics uptake platelets om eleven huntingtons ten presenile dementia uptake unchanged results ht uptake platelets huntingtons ht test
ALZ,ALZ111,lesions ansae peduncularis neuropsychiatric ansa peduncularis innominata neurons huntingtons alzheimers schizophrenia neurological neuropsychiatric conditions normal mental significance lesion granulovacuolar degeneration hippocampus distention pigment vacuolar imparts
ALZ,ALZ112,lesions hepatocerebral degeneration lesions venous shunts much presence primary liver alzheimers spongy degeneration grey matter severe deeper layers frontal parietal spongy degeneration close correlation borderland regions previous review evidence hepatocerebral degeneration effect grey matter metabolic lesions
ALZ,ALZ113,dementia findings specific findings status spongiosus outer layers thalamus report
ALZ,ALZ114,presclerosis general practitioners items inward irritability fatigue literature syndromes signs diminution physio neurons recent due process alzheimers many diminution occurs cues general today
ALZ,ALZ115,ultrastructure glia hepatocerebral hepatocerebral glia glycogen types glycogen nuclear endothelial glia defensive ions
ALZ,ALZ116,locus coeruleus senile dementia counts locus coeruleus lc middle preserved dementia sdat evidence gradual neurons group counts range fewer neurons sdat evidence exists severe terms neocortical lc neurons
ALZ,ALZ117,significance alzheimers specific specific neural types alzheimers neurological diseases normal csf human cultures neonatal human fetal dorsal root drg normal subjects indistinguishable neurones nuclear cultures oligodendrocytes fibroblasts degrees neurones sera csf
ALZ,ALZ118,human intracranial effect review effect nervous system intracranial effect lethal stem hand intracranial effect alzheimers terminal sepsis
ALZ,ALZ119,sporadic vitro fusion test vitro jakob cjd sporadic different nonneurologic sporadic transmission
ALZ,ALZ12,evidence nonhuman infectious etiology indistinguishable jakob cjd test months time presence transmission spongiform infectious cjd occurrence need diseases
ALZ,ALZ120,fibrous dementia fibrous peroxidase antiperoxidase method paraffin frontal senile dementia normals populations fibrous layers fibrous dementia times normal
ALZ,ALZ121,striate lateral normal subjects outer baillarger human luxol mbs normal individuals wide range group normal individuals normal myelin lateral slight cytoplasmic ribonucleic glial neurons results conditions myelin outer baillarger neurons lateral
ALZ,ALZ122,problems support group support group home home social problems problems lack support physicians anger fear problems identity group participation spouses primary providers spouses needs identity support programs way strengthen emotional well important alzheimers
ALZ,ALZ123,rapid method meningeal thioflavin microscopy senile degeneration severe vascular hyalinosis infarcts mental symptomatology less dependent ie quantity senile significant independent correlation mental illnesses dementia less whereas quantity
ALZ,ALZ124,tha dementia pilot anticholinesterase doses unselected senile dementia significant subjects results dementia related dementia statistical test
ALZ,ALZ125,health cost health costs dementia presenile senile dementia alzheimers psychotic conditions dementia depressive dementia due dementia impression costs total costs millionyear general homes annexes psychogeriatric ward costs extramural circa extramural general practitioners social psychogeriatric teams public health total costs total costs health careyear elderly income scientific gerontology dementia nil dementia receives today
ALZ,ALZ126,dysfunction spongiform nervous system functions spongiform sse presenile dementia huntingtons alzheimers dysfunctions lacrimation pupillary drugs subnormal face test atropine anhidrosis rise test functions normal dementia sympathetic
ALZ,ALZ127,lesions schizophrenics swollen degenerate neurons ansae peduncularis neurological diseases alzheimers huntingtons normal mental pigment neurons schizophrenia unselected schizophrenics
ALZ,ALZ128,alzheimers cytoplasmic rna nuclear alzheimers diagnostic craniotomy post mortem necropsy parameters nuclear cytoplasmic rna findings protein synthesis daily alzheimers primary nuclear
ALZ,ALZ129,hydroxylase alzheimers hydroxylase alzheimers frontal hippocampus alzheimers normal range dementia terminal comathe alzheimers fibres
