,class,document,feature
0,ALZ,ALZ1,reduced amounts immunoreactive somatostatin temporal cortex senile dementia alzheimer type post mortem brain tissue patients dying diagnosis senile dementia alzheimer type sdat compared tissue obtained control patients routine post mortem significant fall choline acetyltransferase chat activity observed cortex hippocampus amygdala sdat cases maximal temporal cortex fall chat activity observed temporal cortex accompanied significant reduction immunoreactive somatostatin
1,ALZ,ALZ10,diagnostic criteria primary neuronal degeneration alzheimers type diagnosis patients presenting memory attentional deficits characteristic dementia growing problem dementia may symptomatic range reversible medical psychiatric conditions appear indistinguishable primary neuronal degeneration alzheimers type alzheimers disease neuropathological diagnosis importance establishing presumptive diagnosis employed investigational well clinical use underscored paper proposes diagnostic schema reflects current understanding disorder must evidence gradual progressive mental deterioration attention learning memory cognitive style motivation higher order thinking comprehensive medical psychiatric evaluation obligatory eliminate reversible physical illness psychiatric disorder cerebrovascular condition underlying causes cognitive dysfunction
2,ALZ,ALZ100,cacetylcholine synthesis ccarbon dioxide production u cglucose tissue prisms human neocortex cacetylcholine synthesis co production u cglucose measured tissue prism preparations human neocortex electron micrographs prisms human rat neocortex show contain intact synaptic endings evenly distributed vesicles normal appearing mitochondria poorly preserved cell body structure synthesis cacetylcholine prisms rat neocortex similar estimates turnover vivo synthesis prisms human neocortex rat tissue tissue baboon neocortex incubations performed mm k investigations prisms prepared rat brains stored degrees c death revealed synthesis cacetylcholine presence mm k greatly decreased within min post mortem incubation whereas synthesis mm k production co k concentrations significantly affected longer periods changes similar neocortex striatum thus human autopsy material unlikely suitable use system investigations using animal models suggest cacetylcholine synthesis co production affected surgical anaesthetic procedures neither cacetylcholine synthesis co production human prisms significantly changed age years samples patients dementing condition alzheimers disease showed significant decrease cacetylcholine synthesis normal samples significant increase production co
3,ALZ,ALZ1000,pattern reading deterioration dementia alzheimer type observations implications thirteen patients dementia alzheimer type dat tested ability read aloud read comprehension reading aloud preserved severely impaired cases found relatively independent intellectual deterioration reading comprehension declined progressively increasing dementia severity correlated well quantitative mental status assessments results suggest pattern reading deterioration may aid clinical identification dat disturbance reading comprehension linguistic deficit rather product visual perceptual disturbances alexia consistent instrumental loss de developmental model dementia
4,ALZ,ALZ101,cerebral blood flow metabolic rate oxygen glucose lactate pyruvate ketone bodies amino acids cerebral blood flow cbf cerebral metabolic rate cmr oxygen glucose lactate pyruvate ketone bodies amino acids examined patients presenile dementia seven normal pressure hydrocephalus groups patients showed significantly lower values cbf cerebral uptake oxygen glucose healthy subjects examined concurrently values decreased roughly proportion degree clinical deterioration furthermore patients exhibited significant release lactate pyruvate positive correlation found cmr arterial concentration ketone bodies group presenile dementia showed uptake amino acids significant release phenylalanine addition cmr alanine threonine significantly lower healthy subjects findings suggest cerebral catabolic state four patients normal pressure hydrocephalus also studied shunt operations showed increase cmr glucose decrease cmr ketone bodies acetoacetate well beta hydroxybutyrate could attributed consistent decrease arterial levels ketone bodies
5,ALZ,ALZ102,organic mental syndrome confusional states parkinsons disease relationship computerized tomographic signs cerebral atrophy ninety three patients diagnosis parkinsons disease otherwise unselected specifically evaluated organic mental syndrome oms neurologic motor signs referrable extrapyramidal dysfunction addition cranial computerized tomography ct measure structural changes brain parenchyma cortical sulci atrophy ventricular enlargement ct signs cerebral atrophy correlated different clinical patterns disease age adjusted control population intact mentation similarly studied presence classic oms sizable segment usual parkinsonian population invariably associated ct signs cerebral atrophy atrophic changes ct scans however necessarily correlated intellectual dysfunction weakly independent age typical parkinsonian patients without evidence oms indistinguishable age adjusted control group regard structural changes scans however parkinsonian patients definite permanent oms focal neurologic deficit probably constitute separate distinct subset parkinsonian population pathologic substrate likely similar called alzheimer type dementias duration parkinsonian syndrome predictive either mental status scan findings adjustment age factor
6,ALZ,ALZ103,parasynaptic corpora amylacea striatum typical corpora amylacea ca found within synaptic processes striatum subjects huntingtons alzheimers diseases ca compressed distorted synaptic vesicles possible unusual synaptic lesion common realized significant number ca synapse related synaptic elements destroyed
7,ALZ,ALZ104,senile plaques tangles dialysis dementia brains patients treated hemodialysis studied four patients dialysis encephalopathy syndrome des senile plaques neurofibrillary tangles found cases without des one case group plaques extent compatible alzheimers disease though different distribution neurofibrillary tangles generally sparse plaques tangles containing paired helical filaments principal changes alzheimers disease aluminum implicated possible etiologic agent behind paired helical filaments alzheimers disease raised cerebral aluminum contents demonstrated aluminum known increased central nervous system also des likely consequence procedures connection hemodialysis finding neurofibrillary tangles senile plaques hemodialyzed patients developed des may therefore support theories concerning aluminum etiological agent cerebral changes alzheimers disease
8,ALZ,ALZ105,twins alzheimers disease twins identical appearance affected alzheimers senile dementia one dementia began late died age onset age died ovarian carcinoma age histopathologic findings alzheimers disease confirmed twin sisters
9,ALZ,ALZ106,anatomo clinical study cases jakob creutzfeldt disease spongiform encephalopathy four anatomo clinical cases creutzfeldt jakob disease spongiform encephalopathy described cases correct diagnosis made patients living important diagnostic elements following rapid evolution presenile senile dementia neurological symptoms unusual alzheimers disease importance eeg diagnosis creutzfeldt jakob disease confirmed however onset typical eeg abnormalities late manifestation ct alterations general absent limited pathological alterations aspecific spongiform process sometimes scarce limited specific cerebral areas
