class,document,feature
CONCRETE,CONCRETE-2015-1,modeling diffusion sulfate concrete using mixture theory springerverlag wien concrete exposed sulfates deteriorates attempt made see whether framework mixture theory used model changes occur concrete exposed sodium sulfate toward diffusion reaction sulfates concrete modeled within framework mixture theory appropriate choices made helmholtz free energy interaction momentum process diffusion sulfates concrete captured expected mixture theory diffusion causes deformation solid parameters mixture theory model determined comparing steadystate concentration profile diffusing sodium sulfate solution inlet velocity fluid ficks solution boundary conditions assumption made mass production term capture reaction sulfates concrete rate constant order reaction estimated using concentration gypsum calcium hydroxide ettringite reported literature various duration exposure cement pastes known concentration sodium sulfate solution finally governing equations combined problem steadystate diffusion reaction sulfates concrete presented numerical scheme solve governing equations outlined longterm concentration profiles sodium sulfate predicted framework agree qualitatively experimentally observed profile reported literature
CONCRETE,CONCRETE-2015-10,experimental study flexural behavior recycled coarse aggregate concrete composite beams closedsection steel deck editorial board journal harbin institute technology right reserved repeated load tests five recycled coarse aggregate concrete composite beams two normal concrete composite beams carried investigate flexural behavior recycled coarse aggregate concrete composite beams closedsection steel deck based tests flexural behavior recycled coarse aggregate concrete composite beams different shear studs layout slab thickness steel shape analyzed compared normal concrete composite beams analysis working mainly focused yield load ultimate load deformation slippage steel shape composite slab damage process composite beams test test results show failure modes recycled coarse aggregate concrete composite beams normal concrete composite beams similar based experimental results calculating formulas bearing capacity deformation recycled coarse aggregate concrete composite beams closedsection steel deck presented reference normal concrete composite structure design code calculating results good agreement experimental results calculating formulas used designing recycled coarse aggregate concrete composite beams
CONCRETE,CONCRETE-2015-100,shaking table test numerical analysis highrise building steel reinforce concrete column reinforce concrete core tube john wiley sons ltd summary paper assesses seismic performance highrise building steel reinforce concrete column reinforce concrete core tube shanghai china building floors ground basements two strengthened layers composed outrigger truss belt truss order validate reliability safety structure besides conventional analysis shaking table test scale model conducted test maximum responses acceleration deformation measured evaluated well dynamic characteristics crack pattern failure mechanism building meanwhile elasticplastic timehistory analysis prototype structure carried finite element analysis program experimental data compared analytical results gain better understanding seismic performance building conclusions summarized shaking table test scale model effective method understand failure mechanisms seismic performance highrise building steel reinforce concrete src column reinforce concrete core tube highrise building whipping effect remarkable stiffness ductility stories closed roof paid attention strengthened layers outrigger truss belt truss main structures resist large part seismic action stiffness stories strengthened layers mutated focus phenomenon shear force stories obviously serious lateral stiffness ratio core tube src columns large well controlling size lateral resistance members make give fully play seismic capacity
CONCRETE,CONCRETE-2015-101,stateoftheart literature review concrete mesoscale mechanics right reserved typical multiphase heterogeneous material concrete widely used highrise buildings bridges dams nuclear power stations well industrial civil structures whole process concrete production transportation construction curing hardening nonlinearmechanical deformation response subjected complex loading environments generally dominated physicomechanical properties mesoscale ingredients fabrics including aggregates mortar interfaces paper presents literature review stateoftheart concrete mesoscale mechanics emphasizing development progress experimental investigation mesoscale ingredients preprocessing modeling approaches numerical modeling methodsfor concrete indepth review also presented selected aspects forefront mesoscale concrete mechanics including fracture failure mechanism size effect multiscale coupling rate effect finally recommendations future studies provided
CONCRETE,CONCRETE-2015-102,flexural tensile properties plastic concrete right reserved paper presents systematic study flexural tensile tests flexural tensile strength midspan deflection peak load toughness plastic concrete influenced fiber type fiber content fly ash content silica fume content results indicate flexural tensile strength deformation properties could improved extent adding fibers fly ash silica fume plastic concrete fiber content increasing kgm flexural tensile strength peak load midspan deflection area flexural tensile loaddeflection curve increased three parameters decreased content exceeded kgm secant modulus peak load reduced different degrees different fiber contents reached minimum content kgm adding fly ash within content increase dall three parameters reduced secant modulus peak load increase silica fume content three parameters increased pinch phenomenon became obvious loaddeflection curve analysis test results formulated new formula calculation toughness equation loaddeflection curve
CONCRETE,CONCRETE-2015-103,transformation geopolymer gels crystalline bonds coldsetting refractory concretes pore evolution mechanical strength microstructure elsevier ltd two komgoalosio based geopolymer gels bulk chemical composition corresponding cordierite co mullitecordierite muco successfully transformed crystalline bonds high temperature service coldsetting made refractory concretes kyanite aggregates changed flexural strength gels mpa due development good adhesive bonds thermal cycles c cumulative pore volume remained mlg fromthe absence important densificationshrinkage however behavior cumulative pore volume curves changed matrix wide range distribution pore sizes matrix consisting relatively coarse grains latter exhibits rise void spaces created around contact points among coarse kyanite grains poreswithin crystalline phases cordierite kalsilite leucitemullite enstatite formed themicrostructural observations confirmed transformation gel pores size around interparticle intergranular pores due crystallization flexural strength refractory concretes increased frommpa mpa agreement increase elastic modulus gpa crystallization enhanced mgo content important co compared muco kyanite concentration particles kyanite effectively acted phase separation nucleation sites
CONCRETE,CONCRETE-2015-104,shear behavior multihole perfobond connectors steelconcrete structure copyright technopress ltd study focuses load carrying capacity force transfer mechanism multihole perfobond shear connectors steelconcrete composite structure behavior multihole perfobond shear connector complicated singlehole connector cases groups pushout tests conducted based test results behavior connection analyzed failure mechanism identified simplified iterative method analytic solution proposed based force equilibrium analyzing multihole perfobond shear connector performance finally sensitivity design parameters multihole perfobond shear connector investigated results research showed shear force distribution curve multihole perfobond shear connector near catenary shear forces distribution determined stiffness ratio steel concrete member stiffness ratio shear connector steel member number row efficiency coefficient proposed taking account different limit state
CONCRETE,CONCRETE-2015-105,eliminating concrete cover separation nsm strengthened beams cfrp end anchorage copyright technopress ltd upgrading strengthening existing reinforced concrete rc infrastructure emerging demand nowadays near surface mounted nsm technique promising approach flexural strengthening rc members however premature failure concrete cover separation failure main concern utilizing technique study uwrap end anchorage carbon fiber reinforced polymer cfrp fabrics proposed eliminate concrete cover separation failure experimental programs conducted consequence uwrap end anchorage flexurally strengthened rc beams nsm steel total eight rc rectangular beam specimens tested one specimen kept unstrengthened reference three specimens strengthened nsmsteel bars remaining four specimens strengthened nsmsteel bars uwrap end anchorage using cfrp fabrics nonlinear finite element model fem developed simulate flexural response tested specimens revealed nsmsteel without endanchors significantly improved flexural strength moreover decreased deflection strains compared reference specimen furthermore nsmsteel end anchorage strengthened specimens revealed greater flexural strength improve failure modes premature flexure compared nsmsteel without end anchorage specimens results also ensured uwrap end anchorage completely eliminate concrete cover separation failure
CONCRETE,CONCRETE-2015-106,quantitative impact response analysis reinforced concrete beam using smoothed particle hydrodynamics sph method copyright technopress ltd nonlinear numerical analysis impact response reinforced concretemortar beam incorporated updated lagrangian method namely smoothed particle hydrodynamics sph carried study analysis includes simulation effects high mass low velocity impact load falling beam structures three material models describe localized failure structural elements linear pressuresensitive yield criteria druckerprager type prepeak regime concretemortar meanwhile shear strain energy criterion von mises applied steel reinforcement nonlinear hardening law means modified linear druckerprager envelope employing plane cap surface simulate irreversible plastic behavior concretemortar implementation linear nonlinear softening tension compression regions respectively express complex behavior concrete material short time loading condition validation upon existing experimental test results conducted impact behavior concrete beams best described using sph model adopting average velocity erosion algorithm instability terms numerical fragmentation reduced considerably
CONCRETE,CONCRETE-2015-107,stochastic finite element reliability analysis composite beams considering longitudinal slip editorial board journal harbin engineering right reserved steelconcrete composite beams characterized complex structure material variety strong uncertainty thus necessary analyze view randomness based newmark geometric model considering concrete slab steel beams shear connectors whole elementand making use tl column incremental method nonlinear composite beam element model developed taking longitudinal slip effect consideration based model characteristics composite beams structural response gradients composite beams obtained direct differentiation method ddm reliability index achieved using form method proof reliability example steelconcrete composite beam analyzed stochastic finite element program results show practical engineering need completely rigid connection ensure structural reliability however security necessary consider geometric nonlinearity calculation structure reliability
